J1,PO1,PD1,UTC_2021,UTC_1970,ToD,Google_DepTime,car_freeflow_TravelTime_sec,car_InTraffic_TravelTime_sec,car_distance_m,car_mode,car_status,PT_TravelTime_sec,PT_distance_m,PT_mode,PT_status,Walk_TravelTime_sec,Walk_distance_m,Walk_mode,Walk_status,Bicycle_TravelTime_sec,Bicycle_Distance_m,Bicycle_mode,Bicycle_status,gh_car_sec,gh_pt_sec,gh_foot_sec,gh_bike_sec
7270,EH104AX,EH104LN,3/23/21 11:45,1/1/70 0:00,11:45:00 AM,1616499900,382,378,1436,driving,OK,695,1472,transit,OK,972,1312,walking,OK,342,1356,bicycling,OK,145,599,876,268
7271,EH68LY,EH68LS,3/23/21 15:30,1/1/70 0:00,3:30:00 PM,1616513400,222,264,827,driving,OK,93,127,transit,OK,93,127,walking,OK,184,827,bicycling,OK,98,105,105,171
7272,EH479BD,G731UG,3/23/21 16:00,1/1/70 0:00,4:00:00 PM,1616515200,2140,2227,41585,driving,OK,5205,45041,transit,OK,28012,38517,walking,OK,8287,44258,bicycling,OK,1771,8398,30835,9587
7273,G211JY,G14AZ,3/23/21 11:00,1/1/70 0:00,11:00:00 AM,1616497200,950,985,5059,driving,OK,1999,5394,transit,OK,3282,4565,walking,OK,847,4654,bicycling,OK,385,1309,3429,1015
7274,AB516BB,AB101JR,3/23/21 13:00,1/1/70 0:00,1:00:00 PM,1616504400,1909,2080,27770,driving,OK,2886,29051,transit,OK,20372,27791,walking,OK,6027,30640,bicycling,OK,1450,3354,20710,5730
7275,G613LX,G628PN,3/23/21 10:00,1/1/70 0:00,10:00:00 AM,1616493600,561,600,4544,driving,OK,1194,2479,transit,OK,1614,2195,walking,OK,448,2195,bicycling,OK,336,1738,1797,530
7276,ML30AY,ML36NE,3/23/21 16:00,1/1/70 0:00,4:00:00 PM,1616515200,203,232,1317,driving,OK,448,1751,transit,OK,992,1288,walking,OK,340,1317,bicycling,OK,103,778,900,253
10844,ML30AY,ML36NE,4/12/21 8:55,1/1/70 0:00,8:55:00 AM,1618221300,195,197,1255,driving,OK,450,1755,transit,OK,945,1226,walking,OK,325,1255,bicycling,OK,103,778,900,253
7277,G838AT,G830AW,3/23/21 11:30,1/1/70 0:00,11:30:00 AM,1616499000,322,321,2806,driving,OK,1078,4112,transit,OK,1735,2353,walking,OK,536,2353,bicycling,OK,279,1452,1764,581
7278,FK103DN,FK103HN,3/23/21 11:25,1/1/70 0:00,11:25:00 AM,1616498700,88,87,735,driving,OK,597,735,transit,OK,597,735,walking,OK,226,735,bicycling,OK,47,290,290,108
7279,EH558TZ,EH483AN,3/23/21 17:45,1/1/70 0:00,5:45:00 PM,1616521500,1439,1460,21737,driving,OK,4519,23502,transit,OK,13031,17574,walking,OK,4276,21181,bicycling,OK,1003,5062,12629,4209
7281,AB315YZ,AB314TG,3/23/21 16:00,1/1/70 0:00,4:00:00 PM,1616515200,1271,1337,17844,driving,OK,0,0,transit,ZERO_RESULTS,13027,17421,walking,OK,3901,17912,bicycling,OK,962,6313,13559,3821
7282,IV125DE,IV125RW,3/23/21 17:30,1/1/70 0:00,5:30:00 PM,1616520600,373,361,2700,driving,OK,1346,2459,transit,OK,1825,2450,walking,OK,521,2450,bicycling,OK,200,1509,1516,440
7283,G759AU,G750BH,3/23/21 10:05,1/1/70 0:00,10:05:00 AM,1616493900,236,237,1634,driving,OK,821,1178,transit,OK,821,1178,walking,OK,212,1213,bicycling,OK,142,836,836,241
7284,PA318ZS,PA318NG,3/23/21 11:00,1/1/70 0:00,11:00:00 AM,1616497200,245,273,1977,driving,OK,1597,7799,transit,OK,1413,1888,walking,OK,409,1977,bicycling,OK,185,881,1653,444
7285,ML43PD,G716LG,3/23/21 9:50,1/1/70 0:00,9:50:00 AM,1616493000,209,218,1402,driving,OK,1022,1402,transit,OK,1022,1402,walking,OK,325,1402,bicycling,OK,107,1060,1070,301
7286,HS95YD,HS95UN,3/23/21 18:30,1/1/70 0:00,6:30:00 PM,1616524200,1041,1027,13252,driving,OK,1906,14021,transit,OK,9736,13252,walking,OK,2558,13252,bicycling,OK,796,9018,9088,2514
7287,TD46BW,TD58DW,3/23/21 9:30,1/1/70 0:00,9:30:00 AM,1616491800,1470,1462,22173,driving,OK,5555,28620,transit,OK,15433,21179,walking,OK,4409,22507,bicycling,OK,1197,7059,15290,4425
7288,AB166NQ,AB238JW,3/23/21 9:30,1/1/70 0:00,9:30:00 AM,1616491800,895,919,10450,driving,OK,2873,12955,transit,OK,6265,8610,walking,OK,1568,8818,bicycling,OK,685,3197,6438,1942
7289,PA160FB,PA160EZ,3/23/21 15:00,1/1/70 0:00,3:00:00 PM,1616511600,385,391,5300,driving,OK,765,5548,transit,OK,3787,5300,walking,OK,935,5300,bicycling,OK,302,798,4146,1199
13627,PA160FB,PA160EZ,4/22/21 20:30,1/1/70 0:00,8:30:00 PM,1619127000,379,357,5246,driving,OK,967,6476,transit,OK,3745,5246,walking,OK,924,5246,bicycling,OK,302,798,4146,1199
