PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
G156QE,G536AG,14595.4,1416.2,51.5,62.1
G38AU,G536AG,9208.7,747.9,43.4,41.4
G536AG,G536AG,0,0,0,0
G537YG,G536AG,3453.6,346.6,8.1,33.1
G689EN,G536AG,27078.2,1783.9,125.7,188.1
KA181QW,G536AG,52063.4,2416.1,404.9,506.0
G535UW,G536AG,2480.1,251.1,5.8,8.3
PA11BL,G536AG,8329.3,774.1,59.4,62.9
G536AL,G536AG,758.7,129.2,1.6,1.6
G467EH,G536AG,4515.4,410.4,12.5,36.1
G758XQ,G536AG,18680.1,1039.8,98.7,246.2
G536EU,G536AG,504.6,91.8,1.5,1.4
PA152AD,G536AG,33814.9,1865.5,206.0,200.5
KA92EH,G536AG,45967.2,2110.9,337.9,333.3
G432DF,G536AG,4349.2,396.6,17.9,24.8
PA191JS,PA151BA,6593.1,698.2,48.0,57.1
PA191JS,PA191RQ,681.1,108.9,1.6,17.8
PA191JS,PA151XG,4648.8,472.8,31.4,47.5
PA191PP,PA151XG,4230.4,407.3,29.6,33.9
PA154PJ,PA151XG,2328.1,323.0,9.9,47.0
PA168AP,PA151XG,691.1,87.4,1.6,4.8
PA238JN,PA237LH,2749.6,282.7,19.4,42.0
PA238JN,PA237LH,2749.6,282.7,19.4,42.0
PA238JN,PA237HA,1762.0,190.5,9.6,29.0
ML69TD,G718BB,10981.0,718.5,64.4,141.2
ML37LH,G718BB,8600.8,666.5,41.3,99.8
EH482UZ,EH477AY,9495.1,720.2,53.7,54.4
PA286NH,PA286LR,1119.9,174.3,2.9,16.3
KW172BL,KW172BJ,3394.9,257.6,15.5,18.6
KW172BB,KW172BJ,4768.8,299.0,15.8,21.1
EH165DE,EH93HJ,3176.1,454.1,76.0,20.1
EH143HX,EH93HJ,10426.1,896.4,133.3,118.4
FK38BG,FK30HY,3051.1,300.4,6.2,5.7
ML119SG,ML119RE,494.0,74.5,2.6,3.1
ML119RA,ML119RE,592.4,60.5,1.0,2.6
ML119SG,ML117DG,12143.3,858.2,271.3,227.6
ML117HN,ML117DG,1496.6,248.3,4.7,21.0
ML119SG,ML119SP,222.1,40.0,1.4,0.3
ML119SG,ML119SP,222.1,40.0,1.4,0.3
G611EA,G613TA,3344.1,317.6,29.7,35.5
G536QH,G522JN,5602.4,647.9,29.6,37.4
