,PO1,PD1,origin_lat,origin_lng,destination_lat,destination_lng
6520,PA296TJ,PA296TW,55.860651,-5.413259,55.864283,-5.415209
6521,PA296TA,PA296TW,55.859812,-5.420475,55.864283,-5.415209
6522,PA286DL,PA296XJ,55.427559,-5.608349,55.651708,-5.663492
6523,PA286DL,PA286LA,55.427559,-5.608349,55.42189,-5.608865
6524,PA286DL,PA286EX,55.427559,-5.608349,55.426519,-5.608592
6525,PA286AD,PA286EX,55.424087,-5.605044,55.426519,-5.608592
6526,PA286DL,PA286RW,55.427559,-5.608349,55.313954,-5.645049
6527,EH496DN,EH497AE,55.971402,-3.617132,55.976899,-3.597297
6528,KA89AW,KA80PD,55.474407,-4.61637,55.470252,-4.594955
6529,KA89AW,KA80PD,55.474407,-4.61637,55.470252,-4.594955
6530,G812ED,G813NQ,55.910495,-4.399069,55.916216,-4.413523
6531,KY76DA,KY76DA,56.203406,-3.136402,56.203406,-3.136402
6532,KY76DA,KY76DA,56.203406,-3.136402,56.203406,-3.136402
6533,KY74PE,KY76DA,56.186769,-3.150768,56.203406,-3.136402
