"Address",Latitude,Longitude
"G67 1",55.9479,-3.9917
"G67 2",55.9486,-3.97921
"G67 3",55.9598,-3.95744
"G67 4",55.934,-4.01607
"G68 0",55.9647,-3.99154
"G68 9",55.9439,-4.0267
"G69 0",55.9111,-4.08904
"G69 6",55.8544,-4.11453
"G69 7",55.85,-4.10187
"G69 8",55.8901,-4.08475
"G69 9",55.902,-4.10786
"G71 5",55.8316,-4.06281
"G71 6",55.8275,-4.07409
"G71 7",55.8256,-4.08902
"G71 8",55.8064,-4.07095
"G72 0",55.7852,-4.09363
"G72 6",55.8248,-4.12767
"G72 7",55.8181,-4.15273
"G72 8",55.8118,-4.16477
"G72 9",55.7978,-4.10491
"G73 1",55.8324,-4.215
"G73 2",55.8246,-4.21909
"G73 3",55.8235,-4.20171
"G73 4",55.8124,-4.20843
"G73 5",55.8095,-4.19155
"G74 1",55.7634,-4.18632
"G74 2",55.7607,-4.15576
"G74 3",55.7725,-4.15445
"G74 4",55.7716,-4.18118
"G74 5",55.7675,-4.22041
"G75 0",55.7515,-4.17469
"G75 8",55.7546,-4.21173
"G75 9",55.7446,-4.19892
"G76 0",55.7467,-4.27747
"G76 7",55.7877,-4.28416
"G76 8",55.7847,-4.26988
"G76 9",55.7877,-4.23653
"G77 5",55.7717,-4.31942
"G77 6",55.7757,-4.34268
"G78 1",55.8042,-4.39539
"G78 2",55.7957,-4.38583
"G78 3",55.7815,-4.43418
"G78 4",55.7661,-4.49944
"G81 1",55.8979,-4.39629
"G81 2",55.9071,-4.39696
"G81 3",55.9136,-4.41384
"G81 4",55.9124,-4.42846
"G81 5",55.9274,-4.39592
"G81 6",55.925,-4.41413
"G82 1",55.9426,-4.56179
"G82 2",55.9467,-4.55198
"G82 3",55.9542,-4.55146
"G82 4",55.9568,-4.58349
"G82 5",55.9584,-4.62668
"G83 0",55.9901,-4.58309
"G83 7",56.2208,-4.72857
"G83 8",56.0121,-4.57723
"G83 9",55.9823,-4.56698
"G84 0",56.0328,-4.82646
"G84 7",56.0023,-4.71853
"G84 8",56.0139,-4.75763
"G84 9",56.0115,-4.7273
"HS1 2",58.2123,-6.38142
"HS2 0",58.2891,-6.32115
"HS2 9",58.1879,-6.67331
"HS3 3",57.8829,-6.84841
"HS4 3",57.8685,-6.68989
"HS5 3",57.7969,-6.96605
"HS6 5",57.6027,-7.2992
"HS7 5",57.4514,-7.34524
"HS8 5",57.2319,-7.34656
"HS9 5",56.9667,-7.47961
"IV1 1",57.4839,-4.2264
"IV1 3",57.5079,-4.26506
"IV10 8",57.5849,-4.12653
"IV11 8",57.6777,-4.03841
